target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,2NDFL,elementary,,132621,0,0,0,0.252531362,34.79524665,0.5027322404,,,0.8281233625,1164
0,2NDFL,advanced,,17524,0,0,1,2.0503360215,29.835616438,1.8876712329,0,0,2.0876712329,1171
0,OTHER,elementary,Corporate,250738,0,1,0,20.887074373,49.001033011,0.8311699978,0,2,3.2147316416,1173
0,OTHER,elementary,Corporate,91384,0,1,,,32.983329591,0.9833295905,,,7.6821917808,1178
0,2NDFL,elementary,Corporate,251605,0,0,0,14.049596774,32.680657235,1.6313421663,0,0,8.5409836066,1197
0,OTHER,advanced,Corporate,41546,0,1,0,37.207728495,45.750684932,4.9789879482,0,0,0.6866382214,1201
0,OTHER,elementary,,140000,0,0,,,33.761643836,3.8109589041,,,13.165004866,1204
0,OTHER,elementary,Corporate,44947,0,1,1,0.5654569892,33.365768396,1.9986451082,0,0,8.886316341,1205
0,OTHER,elementary,Corporate,44947,0,1,1,0.5654569892,33.365768396,1.9986451082,0,0,8.886316341,1206
0,2NDFL,elementary,,43500,0,0,,,31.915068493,1.3070813684,,,5.3535294558,1208
0,2NDFL,elementary,,,0,1,0,16.14249552,25.142465753,6.5589041096,0,0,2.1397260274,1210
0,OTHER,advanced,,45000,0,0,1,0.4331541219,41.69144397,2.957197395,0,0,8.8832247923,1211
